size, time[us]
size, time[us]
7,    2683
7,    2580
7,    2613
7,    2581
7,    2580
7,    2584
7,    2604
7,    2591
7,    2586
7,    2618
7,    2700
7,    2614
7,    2608
7,    3454
7,    2661
7,    2624
7,    2641
7,    2652
7,    2698
8,    25443
8,    24376
8,    24915
8,    24857
8,    24177
8,    23912
8,    23209
8,    24617
8,    25386
8,    23272
8,    22641
8,    21992
8,    21912
8,    21650
8,    21606
8,    23431
8,    26388
8,    22344
8,    24138
8,    22505
8,    21834
8,    21862
8,    21418
8,    21852
8,    23065
8,    22601
8,    22084
8,    22121
8,    21915
8,    21861
8,    21884
8,    21646
8,    20704
8,    21590
8,    20935
8,    21887
8,    21787
8,    21028
8,    21635
8,    22165
8,    22118
8,    20988
8,    20570
8,    20969
8,    20606
8,    21452
8,    21737
8,    21850
8,    21885
8,    22062
8,    22105
8,    21841
8,    21704
8,    21833
8,    21783
8,    21710
8,    21781
8,    22120
8,    21559
8,    21590
8,    21404
8,    21303
8,    21229
8,    21131
8,    20991
8,    20376
8,    20714
8,    20702
8,    20985
8,    21073
8,    20488
8,    20281
8,    20865
8,    21700
8,    21632
8,    21623
8,    21736
8,    21952
8,    21730
8,    21610
8,    21588
8,    20805
8,    20411
8,    20391
8,    20844
8,    21523
8,    21507
8,    21628
8,    22086
8,    21989
8,    21710
8,    21766
8,    21945
8,    21817
8,    21681
8,    21722
8,    21745
8,    22124
8,    22128
8,    21743
9,    208005
9,    204068
9,    209437
9,    210957
9,    215804
9,    208950
9,    206573
9,    207831
9,    205977
9,    204984
9,    203298
9,    205841
9,    203869
9,    200502
9,    200290
9,    198364
9,    205323
9,    201193
9,    203747
9,    202286
9,    198906
9,    199669
9,    202085
9,    196682
9,    196537
9,    194352
9,    198063
9,    201388
9,    196270
9,    197475
9,    194308
9,    197301
9,    195915
9,    196867
9,    193924
9,    202917
9,    198732
9,    200382
9,    197113
9,    200737
9,    200605
9,    202579
9,    193820
9,    193404
9,    199859
9,    199784
9,    198603
9,    194482
9,    205256
9,    199576
9,    202370
9,    195817
9,    197331
9,    197816
9,    195478
9,    194463
9,    199917
9,    195151
9,    205454
9,    203083
9,    195251
9,    194115
9,    194952
9,    196246
9,    194583
9,    195214
9,    193621
9,    193457
9,    198602
9,    194705
9,    194723
9,    193470
9,    193684
9,    193870
9,    194914
9,    195590
9,    194412
9,    195808
9,    196304
9,    204321
